Session_Idx,Headstage,Condition,SR,R2,R2_drive,|Real|,|Imag|,N_mask_pts,SR_null_mean,SR_null_std,R2_drive_null_mean,R2_drive_null_std,|Real|_null_mean,|Imag|_null_mean
0,hs0,Tracking,0.7795675794660003,0.21267405541603024,0.010209595971667595,0.11887502999647154,0.3097411591819772,116237,0.6324353529600097,0.08794446687169065,0.00011795243055461424,4.2469875765328105e-05,0.05795121111327028,0.03238359195787864
0,hs0,Playback,0.7488676436177492,0.21404068330215298,0.0011511551718169644,0.12907821895122215,0.13035924570475263,136793,0.6403822228233292,0.09376759834468139,8.820417881388764e-05,3.55425493648954e-05,0.05258323256871185,0.03116404893371201
1,hs0,Tracking,0.822387474289041,0.20887356882882635,0.0012097131979853515,0.06847679482926049,0.12910139151521652,97659,0.6453960953998944,0.07342534220923956,8.8298333742316e-05,2.728485390231587e-05,0.05069691961504423,0.029611480747684868
1,hs0,Playback,0.766628038778543,0.24801705796084117,9.884571848051138e-05,0.03037167739188153,0.035781421672615034,92920,0.6302896403623297,0.07843880797622874,8.959902463875346e-05,3.253779061373315e-05,0.0520960858673854,0.03034108385004865
2,hs0,Tracking,0.8136629901826858,0.2314827913561499,0.001110509662706316,0.08608651547142719,0.1193744354967023,136677,0.6305119157649108,0.08875400731485772,9.199769507146293e-05,3.897266005274654e-05,0.05253629794077215,0.0301435749767935
2,hs0,Playback,0.8383180652676404,0.2663755470850243,0.0024415081643962555,0.018891938082874142,0.19094344893388007,150982,0.6288507176759718,0.09564806576409625,7.602384864577983e-05,3.4445977672675984e-05,0.042409404227253776,0.02322872304374252
3,hs0,Tracking,0.8097606422353859,0.22743366015750677,0.001435871887212281,0.09326938570203701,0.17710365381169943,127453,0.6363465350276374,0.08715117684761933,9.487456046709975e-05,4.051535923814892e-05,0.04605157499407362,0.026620631743665073
3,hs0,Playback,0.8143788113987803,0.18467456001266724,0.00015443350852883952,0.04244437377958965,0.04853624241650947,115422,0.6478512526602276,0.08280836420088356,9.73069972163243e-05,3.843568278694363e-05,0.05130588064641416,0.031241576435062847
4,hs0,Tracking,0.8266713959526204,0.1660972244220691,0.009822328258404567,0.22029808870412282,0.35104484076071785,137183,0.637323927233665,0.10176550784887743,0.0001205751205985539,5.247958782512072e-05,0.050708281228883545,0.030532184043396842
4,hs0,Playback,0.7670232819206415,0.20182914272692953,0.00028075361017187994,0.0537388267670024,0.06952517150312887,125895,0.6330850982808761,0.08087682225243727,0.00010570041027213372,3.9624806280628924e-05,0.05364852891641803,0.03037465249530015
5,hs0,Tracking,0.6254453241608784,0.17208145584907075,0.005110848625575426,0.23497747762908613,0.12199325021889325,121266,0.6217526590307633,0.08984283644065648,8.503590969842212e-05,3.075146977542831e-05,0.055321201933164386,0.029698051383580993
