Session_Idx,Headstage,final_loss,N_neurons,T_total
0,hs0,8.057828903198242,12,530545
1,hs0,7.950761795043945,10,605291
2,hs0,8.05222225189209,12,603318
3,hs0,7.990482807159424,15,603243
4,hs0,8.005987167358398,15,603386
5,hs0,8.066664695739746,18,482041
6,hs1,8.037369728088379,18,610178
7,hs1,8.054733276367188,14,603871
8,hs1,7.9822258949279785,14,602661
9,hs1,7.988009452819824,13,601543
10,hs1,8.047525405883789,12,603475
11,hs1,7.91935920715332,13,603413
12,hs1,7.883304119110107,13,607223
