Session_Idx,Headstage,final_loss,N_neurons,T_total
0,hs0,8.099884986877441,12,530545
1,hs0,7.950713157653809,10,605291
2,hs0,8.051624298095703,12,603318
3,hs0,7.993211269378662,15,603243
4,hs0,8.017950057983398,15,603386
5,hs0,8.064739227294922,18,482041
6,hs1,8.008475303649902,18,610178
7,hs1,8.058289527893066,14,603871
8,hs1,7.948107719421387,14,602661
9,hs1,7.962360382080078,13,601543
10,hs1,8.06187629699707,12,603475
11,hs1,7.939977645874023,13,603413
12,hs1,7.918330192565918,13,607223
