neuron_id,pair_idx,neuron_idx,mp1_name,mp2_name,n_neurons_mp1,n_neurons_mp2,R2_mp1,R2_mp2,delta_R2
20260317_n7,1,7,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,0.004095466886743893,0.0007104045824790628,-0.00338506230426483
20260317_n8,1,8,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,0.012271019855237375,0.00046925072867387563,-0.0118017691265635
20260317_n9,1,9,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,0.00412158212336855,0.002615709216220452,-0.001505872907148098
20260317_n10,1,10,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,0.0026961781101133564,0.0032713631222207606,0.0005751850121074042
20260317_n11,1,11,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,0.002358452655052301,0.0010256974490642223,-0.0013327552059880787
20260317_n12,1,12,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,0.0023053804799614275,0.004158707600580791,0.0018533271206193636
20260317_n13,1,13,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,0.008315973520105935,-8.186621659289628e-05,-0.008397839736698831
20260317_n14,1,14,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,0.0027187294256357797,0.00020837392945671773,-0.002510355496179062
20260317_n15,1,15,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.0017868339673479117,
20260317_n16,1,16,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.004501126286653778,
20260317_n17,1,17,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,5.1187845326094994e-05,
20260317_n18,1,18,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.0007333193803726878,
20260317_n19,1,19,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,-4.1652968785665934e-05,
20260317_n20,1,20,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.0015649538764047621,
20260317_n21,1,21,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.003768445251372765,
20260317_n22,1,22,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.0025812082926055524,
20260317_n23,1,23,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.001568121946839085,
20260317_n24,1,24,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.006232528353653066,
20260317_n25,1,25,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.002131427710299616,
20260317_n26,1,26,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.006880622523189661,
20260317_n27,1,27,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.001852154976448639,
20260317_n28,1,28,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.0015105777870400017,
20260317_n29,1,29,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.00036928756388543427,
20260317_n30,1,30,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.0027590396700133413,
20260317_n31,1,31,SKIEUR_20260317_SESSION_02,SKIEUR_20260317_SESSION_03,15,32,,0.004129050328089523,
20260318_n0,2,0,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.002121735523865187,0.004495862602025058,0.002374127078159871
20260318_n1,2,1,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,-0.00017016810539516314,0.00018390016186886626,0.0003540682672640294
20260318_n2,2,2,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.008690596410367957,0.0031674252096001165,-0.00552317120076784
20260318_n3,2,3,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.003539261410533401,0.000872224236107999,-0.0026670371744254018
20260318_n4,2,4,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.0035717650603820372,0.004503003770742087,0.0009312387103600495
20260318_n5,2,5,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.008338043773582493,0.004924793603266142,-0.003413250170316351
20260318_n6,2,6,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.0008043998008788744,0.0010631739578744748,0.00025877415699560036
20260318_n7,2,7,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.0022614873934204693,0.003825585289930933,0.0015640978965104635
20260318_n8,2,8,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.0033740678140611324,5.7097935670991085e-05,-0.0033169698783901413
20260318_n9,2,9,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.008406187996181536,0.005852032212575908,-0.0025541557836056272
20260318_n10,2,10,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.00490656973412662,0.007634230101387973,0.002727660367261353
20260318_n11,2,11,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.0028961564167958587,0.002313178124791926,-0.0005829782920039328
20260318_n12,2,12,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.0027687590921495753,0.00031516896327810073,-0.0024535901288714745
20260318_n13,2,13,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.0019188966817035302,0.001373724726251746,-0.0005451719554517842
20260318_n14,2,14,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,0.002207730762372795,0.0035476263274140107,0.0013398955650412159
20260318_n15,2,15,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.0015422157750538679,
20260318_n16,2,16,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.00196590889225845,
20260318_n17,2,17,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.003387543656910297,
20260318_n18,2,18,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.004305547294095824,
20260318_n19,2,19,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.008855682639573259,
20260318_n20,2,20,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.0018957126951594239,
20260318_n21,2,21,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.0009641535868656348,
20260318_n22,2,22,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.004593187360533824,
20260318_n23,2,23,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.003890490266150959,
20260318_n24,2,24,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.0005006467520526359,
20260318_n25,2,25,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.002443285533345718,
20260318_n26,2,26,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.004129761995121828,
20260318_n27,2,27,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.0011968259158493533,
20260318_n28,2,28,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.005737969431337975,
20260318_n29,2,29,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.000711898649577547,
20260318_n30,2,30,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.000987078392380436,
20260318_n31,2,31,SKIEUR_20260318_SESSION_00,SKIEUR_20260318_SESSION_01,15,32,,0.002098239784442235,
20260319_n0,3,0,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.003139780785137991,0.0072913286421991685,0.0041515478570611775
20260319_n1,3,1,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.005214956826473327,0.0028565416849170022,-0.002358415141556325
20260319_n2,3,2,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.002286490798340979,0.0035235390551594525,0.0012370482568184737
20260319_n3,3,3,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.003811286260625657,0.01289434090456576,0.009083054643940103
20260319_n4,3,4,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.0014645537541616571,0.0032582406869962055,0.0017936869328345484
20260319_n5,3,5,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.00525620058080678,0.0002186821495829827,-0.0050375184312237975
20260319_n6,3,6,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.0008050820995399999,0.004213619285254211,0.003408537185714211
20260319_n7,3,7,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.0022947986210783977,0.00273626178531583,0.00044146316423743226
20260319_n8,3,8,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.006483692083538273,-0.00012247205277815532,-0.006606164136316428
20260319_n9,3,9,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.004299712454839955,0.004265441362592104,-3.427109224785063e-05
20260319_n10,3,10,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.002207522159238473,0.0016752514816484876,-0.0005322706775899855
20260319_n11,3,11,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.008753845804766014,0.0008877208136043313,-0.007866124991161683
20260319_n12,3,12,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.0024182164627930547,0.007761807624664829,0.005343591161871775
20260319_n13,3,13,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.003842015739201954,0.00035930557912444705,-0.0034827101600775068
20260319_n14,3,14,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.001308224128796387,0.00022879761726390946,-0.0010794265115324775
20260319_n15,3,15,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,0.0026505590171117532,0.00415534682734553,0.0015047878102337764
20260319_n16,3,16,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.0043767916241177485,
20260319_n17,3,17,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.00025645254053296984,
20260319_n18,3,18,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.0015793875174940908,
20260319_n19,3,19,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,-2.3349141810680152e-05,
20260319_n20,3,20,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.00280597209108846,
20260319_n21,3,21,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.0059801349858695785,
20260319_n22,3,22,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.004167870763683634,
20260319_n23,3,23,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.004416496185567831,
20260319_n24,3,24,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.00709848733730345,
20260319_n25,3,25,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.004301886917754683,
20260319_n26,3,26,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.004673060684072139,
20260319_n27,3,27,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.00148196967992964,
20260319_n28,3,28,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.0019021828152000486,
20260319_n29,3,29,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.0010222986721619698,
20260319_n30,3,30,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.005608020901217925,
20260319_n31,3,31,SKIEUR_20260319_SESSION_00,SKIEUR_20260319_SESSION_01,16,32,,0.006591755066793326,
20260320_n0,4,0,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.003765626720866,0.012072157777730075,0.008306531056864075
20260320_n1,4,1,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.005588000365481793,0.012880332466143396,0.007292332100661603
20260320_n2,4,2,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.000552674202910608,0.01039088115479836,0.009838206951887751
20260320_n3,4,3,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.006693865310482994,0.012327285712158131,0.005633420401675138
20260320_n4,4,4,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.00980672296202667,0.012676706838673835,0.002869983876647164
20260320_n5,4,5,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.008826822418401936,0.012658935040747554,0.003832112622345618
20260320_n6,4,6,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.007602073912787666,0.013008357291424244,0.005406283378636578
20260320_n7,4,7,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.012766031720276239,0.013734113358520594,0.0009680816382443558
20260320_n8,4,8,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.0025700903107649387,0.012619756871472543,0.010049666560707604
20260320_n9,4,9,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.004946421646280452,0.014013819410102268,0.009067397763821816
20260320_n10,4,10,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.005608635995751343,0.012461425118900249,0.006852789123148906
20260320_n11,4,11,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.005887063607555532,0.013069563964853481,0.0071825003572979496
20260320_n12,4,12,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.003273440061563604,0.012045744215215648,0.008772304153652044
20260320_n13,4,13,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,0.01255569182140115,0.012504408185226357,-5.128363617479259e-05
20260320_n14,4,14,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.012776584039760674,
20260320_n15,4,15,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.01087534695693071,
20260320_n16,4,16,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.012078485617650236,
20260320_n17,4,17,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.013326442776617764,
20260320_n18,4,18,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.012605591035549812,
20260320_n19,4,19,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.012652383684340962,
20260320_n20,4,20,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.014482384353695976,
20260320_n21,4,21,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.012184680949908766,
20260320_n22,4,22,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.011870431419803928,
20260320_n23,4,23,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.013909738194800791,
20260320_n24,4,24,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.011856667613607152,
20260320_n25,4,25,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.013970961214632482,
20260320_n26,4,26,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.011980881445265101,
20260320_n27,4,27,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.01175324020313373,
20260320_n28,4,28,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.011061286124843916,
20260320_n29,4,29,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.011174198191677864,
20260320_n30,4,30,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.012978575395114822,
20260320_n31,4,31,SKIEUR_20260320_SESSION_00,SKIEUR_20260320_SESSION_01,14,32,,0.012545164865191305,
20260323_n0,5,0,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.0004980813297982278,0.002176541634382856,0.001678460304584628
20260323_n1,5,1,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.007196783829687692,0.00045653759833452767,-0.006740246231353164
20260323_n2,5,2,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.0016646186257851525,0.0058292797737223845,0.004164661147937232
20260323_n3,5,3,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.0017351674779192416,0.00852851021009382,0.006793342732174579
20260323_n4,5,4,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.0027187042783758386,0.00196234261449324,-0.0007563616638825987
20260323_n5,5,5,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.0034063301758902043,0.00032063515668090403,-0.0030856950192093002
20260323_n6,5,6,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.004315752462104139,0.004407153691352916,9.140122924877758e-05
20260323_n7,5,7,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.0010032455553824482,0.003839266703308919,0.0028360211479264708
20260323_n8,5,8,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.010395125548815609,0.0002058070960445635,-0.010189318452771046
20260323_n9,5,9,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.0007468367663786557,0.006020085566780242,0.0052732488004015865
20260323_n10,5,10,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.009408099540951231,0.001698325234303133,-0.007709774306648098
20260323_n11,5,11,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.005497483525190305,0.0009256457813726637,-0.004571837743817642
20260323_n12,5,12,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.0038729732931935823,0.005202695351397946,0.0013297220582043634
20260323_n13,5,13,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.0019640938280275355,0.0003567470180946275,-0.001607346809932908
20260323_n14,5,14,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.0019513314259579362,0.0001764027652617628,-0.0017749286606961734
20260323_n15,5,15,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.008020576100613241,0.0013073159719277916,-0.00671326012868545
20260323_n16,5,16,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.000619353724623406,0.0035113752147725164,0.0028920214901491104
20260323_n17,5,17,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.0031204594700535715,0.00023910444601982217,-0.0028813550240337493
20260323_n18,5,18,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,0.013793334758386067,0.002410002413764989,-0.011383332344621078
20260323_n19,5,19,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,,0.0037909802935742754,
20260323_n20,5,20,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,,0.0022156879520344175,
20260323_n21,5,21,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,,0.0033516195274309046,
20260323_n22,5,22,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,,0.002097293820166657,
20260323_n23,5,23,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,,0.0026580854941119503,
20260323_n24,5,24,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,,0.007460470101032124,
20260323_n25,5,25,SKIEUR_20260323_SESSION_00,SKIEUR_20260323_SESSION_01,19,32,,0.004718122700348881,
